log10_x,L_100,L_1000,dc,zero_line
8.10,-1.535516,2.276390,-0.670000,0.0
8.12,-3.834373,-16.237310,-0.670000,0.0
8.14,0.819505,7.468088,-0.670000,0.0
8.16,-6.382449,-18.376741,-0.670000,0.0
8.18,2.014538,1.576596,-0.670000,0.0
8.20,1.760093,-4.840671,-0.670000,0.0
8.22,1.472510,22.083550,-0.670000,0.0
8.24,-3.046545,-9.906377,-0.670000,0.0
8.26,3.772763,-3.729401,-0.670000,0.0
8.28,-2.215033,-12.092255,-0.670000,0.0
8.30,4.981618,2.154911,-0.670000,0.0
8.32,-0.886065,4.787656,-0.670000,0.0
8.34,-0.078392,8.013320,-0.670000,0.0
8.36,2.981070,-1.523685,-0.670000,0.0
8.38,-8.563706,5.607420,-0.670000,0.0
8.40,-0.413892,-12.956763,-0.670000,0.0
8.42,-3.520225,-28.210088,-0.670000,0.0
8.44,-0.566982,0.372286,-0.670000,0.0
8.46,5.637112,3.091141,-0.670000,0.0
8.48,0.212145,-9.178303,-0.670000,0.0
8.50,-4.652418,-4.381593,-0.670000,0.0
8.52,1.193817,9.202260,-0.670000,0.0
8.54,-3.557250,-13.839598,-0.670000,0.0
8.56,4.878051,1.213603,-0.670000,0.0
8.58,-10.973981,-4.793960,-0.670000,0.0
8.60,1.807964,-15.725702,-0.670000,0.0
8.62,-2.304746,-6.512726,-0.670000,0.0
8.64,6.144326,-1.708311,-0.670000,0.0
8.66,-2.507461,-21.534509,-0.670000,0.0
8.68,0.360443,-3.311398,-0.670000,0.0
8.70,-5.676530,-14.390784,-0.670000,0.0
8.72,1.289239,-0.568191,-0.670000,0.0
8.74,2.712493,14.932366,-0.670000,0.0
8.76,1.175091,8.285124,-0.670000,0.0
8.78,-5.564555,8.294047,-0.670000,0.0
8.80,-2.893254,-6.299449,-0.670000,0.0
8.82,-2.111322,-9.093633,-0.670000,0.0
8.84,-2.815681,-26.487497,-0.670000,0.0
8.86,-2.944597,-17.514106,-0.670000,0.0
8.88,3.841268,11.755063,-0.670000,0.0
8.90,-3.011430,-9.508223,-0.670000,0.0
8.92,1.245299,4.783324,-0.670000,0.0
8.94,-2.122487,-7.515462,-0.670000,0.0
8.96,-1.213896,-15.287649,-0.670000,0.0
8.98,1.521270,-2.436456,-0.670000,0.0
9.00,-1.575134,-8.901886,-0.670000,0.0
9.02,-2.080104,-2.977236,-0.670000,0.0
9.04,-4.037252,3.163988,-0.670000,0.0
9.06,8.995845,12.057216,-0.670000,0.0
9.08,1.501787,2.046184,-0.670000,0.0
9.10,1.668252,14.564080,-0.670000,0.0
9.12,0.587190,11.221317,-0.670000,0.0
9.14,-1.260138,8.020429,-0.670000,0.0
9.16,0.499140,8.725496,-0.670000,0.0
9.18,-3.360420,16.186563,-0.670000,0.0
9.20,-1.284495,-9.877434,-0.670000,0.0
9.22,1.087336,-0.166929,-0.670000,0.0
9.24,-2.238371,9.982569,-0.670000,0.0
9.26,-3.103252,-0.503522,-0.670000,0.0
9.28,-0.597956,-3.763553,-0.670000,0.0
9.30,0.694695,-3.942268,-0.670000,0.0
9.32,0.980460,12.276995,-0.670000,0.0
9.34,-4.231467,5.236382,-0.670000,0.0
9.36,-7.812483,-11.053621,-0.670000,0.0
