log10_x,M_100,M_1000,M_10000,threshold_pos,threshold_neg
135.8,0.112961,0.117819,0.127481,1.0,-1.0
135.9,-0.017089,-0.030556,-0.035544,1.0,-1.0
136.0,0.041688,0.062740,0.044458,1.0,-1.0
136.1,-0.015302,-0.028051,-0.025272,1.0,-1.0
136.2,0.088434,0.087190,0.085420,1.0,-1.0
136.3,0.012381,0.005690,-0.000661,1.0,-1.0
136.4,-0.014259,-0.008444,-0.015040,1.0,-1.0
136.5,-0.020074,-0.029579,-0.019585,1.0,-1.0
136.6,-0.051820,-0.055435,-0.057935,1.0,-1.0
136.7,-0.011808,0.002101,-0.006756,1.0,-1.0
136.8,-0.010647,-0.008411,-0.004421,1.0,-1.0
136.9,0.030690,0.052610,0.056817,1.0,-1.0
137.0,-0.019240,0.002305,0.007114,1.0,-1.0
137.1,-0.012477,-0.006812,-0.012957,1.0,-1.0
137.2,-0.101804,-0.133104,-0.124557,1.0,-1.0
137.3,0.058478,0.034485,0.018016,1.0,-1.0
137.4,0.006342,0.001862,-0.011386,1.0,-1.0
137.5,0.143758,0.132641,0.139033,1.0,-1.0
137.6,0.003881,-0.006998,-0.019037,1.0,-1.0
137.7,-0.012250,-0.028965,-0.019867,1.0,-1.0
137.8,-0.047765,-0.043018,-0.042387,1.0,-1.0
137.9,0.072268,0.072158,0.067919,1.0,-1.0
138.0,-0.083334,-0.110676,-0.117124,1.0,-1.0
138.1,-0.053098,-0.059271,-0.061719,1.0,-1.0
138.2,-0.075523,-0.062006,-0.057959,1.0,-1.0
138.3,-0.029652,-0.022388,-0.029506,1.0,-1.0
138.4,0.035692,0.041038,0.049987,1.0,-1.0
138.5,0.003688,-0.013302,-0.006347,1.0,-1.0
138.6,-0.006444,-0.028509,-0.020409,1.0,-1.0
138.7,0.074721,0.072699,0.068205,1.0,-1.0
138.8,0.026412,0.016413,0.026078,1.0,-1.0
138.9,0.045895,0.046378,0.037905,1.0,-1.0
139.0,-0.019609,-0.027576,-0.022917,1.0,-1.0
139.1,-0.008165,-0.016533,-0.013417,1.0,-1.0
139.2,0.077091,0.105430,0.117281,1.0,-1.0
139.3,-0.019289,-0.013188,-0.010189,1.0,-1.0
139.4,-0.010250,-0.009487,-0.015227,1.0,-1.0
139.5,-0.119322,-0.136480,-0.129447,1.0,-1.0
139.6,-0.013295,-0.008514,-0.013579,1.0,-1.0
139.7,0.007749,0.049666,0.047033,1.0,-1.0
139.8,0.023894,0.040376,0.024014,1.0,-1.0
139.9,-0.054944,-0.048842,-0.048640,1.0,-1.0
