log10_x,L_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg,dc_offset
4.10,0.354217,0.682122,-0.340399,-0.306632,-0.587998,0.045003,5.433087,-5.433087,-0.670000
4.12,-2.447605,0.560037,-0.636208,-0.616232,-0.222968,-0.589373,5.433087,-5.433087,-0.670000
4.14,-3.276500,0.208920,-0.380890,-0.194796,0.512694,-0.108719,6.034434,-6.034434,-0.670000
4.16,3.981394,-0.227635,0.204382,0.457726,0.396121,0.577619,6.034434,-6.034434,-0.670000
4.18,-0.766625,-0.571098,0.612604,0.567248,-0.378911,0.171165,6.034434,-6.034434,-0.670000
4.20,-4.328942,-0.681006,0.490146,0.003845,-0.524092,-0.559115,6.034434,-6.034434,-0.670000
4.22,0.509583,-0.512413,-0.056911,-0.564120,0.201909,-0.231610,6.034434,-6.034434,-0.670000
4.24,-0.384082,-0.134265,-0.554667,-0.462870,0.592283,0.534076,6.034434,-6.034434,-0.670000
4.26,-3.555949,0.298792,-0.571932,0.187482,-0.001876,0.289348,6.034434,-6.034434,-0.670000
4.28,3.327737,0.609655,-0.093750,0.615424,-0.592916,-0.502795,6.034434,-6.034434,-0.670000
4.30,-2.389013,0.671197,0.465645,0.313289,-0.198371,-0.343705,6.034434,-6.034434,-0.670000
4.32,1.648403,0.458248,0.621666,-0.360500,0.525920,0.465637,6.034434,-6.034434,-0.670000
4.34,-0.290511,0.057895,0.239157,-0.606629,0.375991,0.394044,6.034434,-6.034434,-0.670000
4.36,-0.901008,-0.366134,-0.350527,-0.133114,-0.398936,-0.423038,6.034434,-6.034434,-0.670000
4.38,-4.987689,-0.640430,-0.636560,0.498313,-0.510724,-0.439778,6.034434,-6.034434,-0.670000
4.40,1.346648,-0.652818,-0.371160,0.538592,0.226448,0.375494,6.034434,-6.034434,-0.670000
4.42,-0.613461,-0.398232,0.215764,-0.060060,0.587203,0.480372,6.034434,-6.034434,-0.670000
4.44,0.268369,0.019213,0.615778,-0.587463,-0.028131,-0.323561,6.034434,-6.034434,-0.670000
4.46,-3.610985,0.428802,0.482363,-0.417960,-0.596704,-0.515352,6.034434,-6.034434,-0.670000
4.48,1.738265,0.663029,-0.068909,0.247369,-0.173395,0.267847,6.034434,-6.034434,-0.670000
4.50,1.828360,0.626106,-0.560487,0.619244,0.538143,0.544309,6.034434,-6.034434,-0.670000
4.52,-1.404981,0.333133,-0.566532,0.256511,0.355143,-0.209003,6.034434,-6.034434,-0.670000
4.54,-3.951278,-0.096077,-0.081807,-0.410521,-0.418200,-0.566904,6.034434,-6.034434,-0.670000
4.56,1.835843,-0.485995,0.473784,-0.590552,-0.496382,0.147716,6.034434,-6.034434,-0.670000
4.58,-1.416948,-0.677163,0.618951,-0.070012,0.250556,0.582873,6.034434,-6.034434,-0.670000
4.60,-2.210333,-0.591400,0.227939,0.533583,0.581003,-0.084702,6.034434,-6.034434,-0.670000
4.62,1.935843,-0.263781,-0.360529,0.504189,-0.054332,-0.592030,6.034434,-6.034434,-0.670000
4.64,-3.024746,0.171714,-0.636683,-0.123324,-0.599353,0.020698,6.034434,-6.034434,-0.670000
4.66,-2.214459,0.536985,-0.361297,-0.604538,-0.148088,0.594268,6.034434,-6.034434,-0.670000
4.68,2.719632,0.682652,0.227069,-0.368590,0.549339,0.043547,6.034434,-6.034434,-0.670000
4.70,-0.259027,0.549145,0.618732,0.304616,0.333617,-0.589560,6.034434,-6.034434,-0.670000
4.72,-1.008446,0.191061,0.474406,0.616456,-0.436665,-0.107284,6.034434,-6.034434,-0.670000
4.74,0.926035,-0.245159,-0.080883,0.196995,-0.481093,0.577962,6.034434,-6.034434,-0.670000
4.76,-2.333642,-0.581119,-0.566106,-0.456161,0.274185,0.169766,6.034434,-6.034434,-0.670000
4.78,-3.280144,-0.679427,-0.560929,-0.568174,0.573694,-0.559608,6.034434,-6.034434,-0.670000
4.80,-0.780376,-0.499879,-0.069836,-0.006162,-0.080430,-0.230265,6.034434,-6.034434,-0.670000
4.82,0.160187,-0.115902,0.481754,0.563160,-0.600858,0.534715,6.034434,-6.034434,-0.670000
4.84,1.362977,0.315474,0.616015,0.464406,-0.122499,0.288072,6.034434,-6.034434,-0.670000
4.86,-1.694708,0.617834,0.216641,-0.185272,0.559486,-0.503572,6.034434,-6.034434,-0.670000
4.88,0.100323,0.667528,-0.370402,-0.615162,0.311455,-0.342513,6.034434,-6.034434,-0.670000
4.90,0.700724,0.444231,-0.636577,-0.315286,-0.454298,0.466543,6.034434,-6.034434,-0.670000
4.92,-4.357722,0.039264,-0.351304,0.358613,-0.464886,0.392950,6.034434,-6.034434,-0.670000
4.94,1.120827,-0.381761,0.238293,0.607090,0.297291,-0.424062,6.034434,-6.034434,-0.670000
4.96,1.909441,-0.646662,0.621464,0.135377,0.565291,-0.438795,6.034434,-6.034434,-0.670000
4.98,-4.377480,-0.647106,0.466280,-0.496934,-0.106374,0.376624,6.034434,-6.034434,-0.670000
5.00,-0.682120,-0.382912,-0.092828,-0.539732,-0.601217,0.479511,6.034434,-6.034434,-0.670000
5.02,-0.923600,0.037876,-0.571522,0.057753,-0.096676,-0.324785,6.034434,-6.034434,-0.670000
5.04,-0.343541,0.443175,-0.555124,0.586726,0.568566,-0.514623,6.034434,-6.034434,-0.670000
5.06,0.205462,0.667235,-0.057839,0.419667,0.288699,0.269150,6.034434,-6.034434,-0.670000
5.08,0.796547,0.618424,0.489550,-0.245243,-0.471063,0.543721,6.034434,-6.034434,-0.670000
5.10,-1.119866,0.316705,0.612857,-0.619221,-0.447792,-0.210369,6.034434,-6.034434,-0.670000
5.12,-0.613002,-0.114532,0.205264,-0.258618,0.319830,-0.566463,6.034434,-6.034434,-0.670000
5.14,-1.534128,-0.498931,-0.380143,0.408783,0.555809,0.149129,5.976165,-5.976165,-0.670000
5.16,0.325667,-0.679289,-0.636244,0.591246,-0.132115,0.582585,5.976165,-5.976165,-0.670000
5.18,-3.443061,-0.581847,-0.341186,0.072314,-0.600428,-0.086147,5.976165,-5.976165,-0.670000
5.20,-0.760740,-0.246455,0.249431,-0.532403,-0.070669,-0.591899,5.976165,-5.976165,-0.670000
5.22,-0.167083,0.189726,0.623973,-0.505531,0.576561,0.022158,5.976165,-5.976165,-0.670000
5.24,0.807152,0.548318,0.457987,0.121052,0.265392,0.594294,5.976165,-5.976165,-0.670000
5.26,0.600068,0.682671,-0.104740,0.604032,-0.486930,0.042091,5.976165,-5.976165,-0.670000
5.28,-1.207652,0.537842,-0.576733,0.370449,-0.429844,-0.589744,5.108211,-5.108211,-0.670000
5.30,-1.069978,0.173058,-0.549120,-0.302596,0.341758,-0.105847,5.108211,-5.108211,-0.670000
5.32,-1.971514,-0.262498,-0.045821,-0.616672,0.545266,0.578301,5.108211,-5.108211,-0.670000
5.34,1.788958,-0.590705,0.497171,-0.199191,-0.157604,0.168367,5.108211,-5.108211,-0.670000
5.36,-4.497065,-0.677339,0.609480,0.454591,-0.598494,-0.560099,5.108211,-5.108211,-0.670000
5.38,2.848588,-0.486970,0.193814,0.569092,-0.044526,-0.228918,5.108211,-5.108211,-0.670000
5.40,-4.328873,-0.097452,-0.389747,0.008480,0.583456,0.535351,5.108211,-5.108211,-0.670000
5.42,2.513636,0.331919,-0.635682,-0.562192,0.241578,0.286794,5.108211,-5.108211,-0.670000
5.44,-2.370889,0.625550,-0.330945,-0.465936,-0.501868,-0.504346,5.108211,-5.108211,-0.670000
5.46,-2.283235,0.663359,0.260479,0.183059,-0.411075,-0.341318,5.108211,-5.108211,-0.670000
5.48,3.120300,0.429882,0.626258,0.614891,0.363034,0.467446,5.108211,-5.108211,-0.670000
5.50,2.289679,0.020602,0.449529,0.317279,0.533683,0.391853,5.108211,-5.108211,-0.670000
5.52,-4.537355,-0.397103,-0.116614,-0.356721,-0.182793,-0.425084,5.108211,-5.108211,-0.670000
5.54,-1.908894,-0.652410,-0.581737,-0.607543,-0.595418,-0.437808,6.343613,-6.343613,-0.670000
5.56,-2.850356,-0.640910,-0.542920,-0.137637,-0.018299,0.377753,6.343613,-6.343613,-0.670000
5.58,2.658135,-0.367306,-0.033787,0.495547,0.589238,0.478647,6.364895,-6.364895,-0.670000
5.60,-2.779105,0.056511,0.504614,0.540865,0.217304,-0.326007,6.364895,-6.364895,-0.670000
5.62,2.187112,0.457217,0.605884,-0.055445,-0.515848,-0.513891,6.364895,-6.364895,-0.670000
5.64,-2.599650,0.670941,0.182294,-0.585981,-0.391522,0.270451,6.364895,-6.364895,-0.670000
5.66,1.625136,0.610280,-0.399211,-0.421368,0.383618,0.543129,6.364895,-6.364895,-0.670000
5.68,-1.883639,0.300041,-0.634892,0.243113,0.521082,-0.211734,6.364895,-6.364895,-0.670000
5.70,0.086864,-0.132902,-0.320585,0.619189,-0.207632,-0.566019,6.364895,-6.364895,-0.670000
5.72,-2.220219,-0.511494,0.271434,0.260722,-0.591206,0.150542,6.364895,-6.364895,-0.670000
5.74,-0.186252,-0.680906,0.628319,-0.407039,0.007963,0.582294,6.364895,-6.364895,-0.670000
5.76,-0.162037,-0.571858,0.440910,-0.591931,0.593895,-0.087591,6.364895,-6.364895,-0.670000
5.78,-2.334149,-0.228945,-0.128446,-0.074615,0.192614,-0.591764,6.364895,-6.364895,-0.670000
5.80,-1.525067,0.207597,-0.586533,0.531216,-0.528843,0.023616,6.364895,-6.364895,-0.670000
5.82,1.483094,0.559241,-0.536524,0.506867,-0.371222,0.594317,6.364895,-6.364895,-0.670000
5.84,0.430407,0.682179,-0.021741,-0.118778,0.403470,0.040634,6.364895,-6.364895,-0.670000
