log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
13.90,0.025481,0.001982,0.015902,0.013779,-0.001987,-0.017897,0.183054,-0.183054
13.95,0.089537,0.048041,0.005075,-0.018637,-0.005088,0.012849,0.183054,-0.183054
14.00,-0.033198,-0.007411,-0.023523,0.022223,0.011507,-0.002557,0.183054,-0.183054
14.05,-0.066896,-0.047204,0.030253,-0.024290,-0.016441,-0.008778,0.183054,-0.183054
14.10,0.034017,0.012744,-0.021913,0.024698,0.019253,0.016531,0.140698,-0.140698
14.15,-0.086641,0.045764,0.002656,-0.023419,-0.019580,-0.017538,0.140698,-0.140698
14.20,-0.006937,-0.017915,0.017924,0.020540,0.017381,0.011389,0.140698,-0.140698
14.25,-0.118541,-0.043740,-0.029575,-0.016258,-0.012938,-0.000592,0.140698,-0.140698
14.30,0.018041,0.022857,0.026493,0.010865,0.006826,-0.010446,0.140698,-0.140698
14.35,0.008797,0.041157,-0.010213,-0.004731,0.000167,0.017222,0.140698,-0.140698
14.40,-0.055631,-0.027507,-0.011154,-0.001727,-0.007139,-0.016969,0.140698,-0.140698
14.45,0.050336,-0.038049,0.026965,0.008067,0.013189,0.009792,0.134518,-0.134518
14.50,0.011190,0.031806,-0.029343,-0.013856,-0.017537,0.001381,0.134518,-0.134518
14.55,0.115948,0.034456,0.017103,0.018698,0.019622,-0.011990,0.134518,-0.134518
14.60,-0.069635,-0.035699,0.003656,-0.022263,-0.019175,0.017707,0.138820,-0.138820
14.65,-0.072722,-0.030422,-0.022595,0.024307,0.016253,-0.016198,0.138820,-0.138820
14.70,0.054403,0.039137,0.030277,-0.024691,-0.011234,0.008079,0.138820,-0.138820
14.75,0.074045,0.026000,-0.022877,0.023388,0.004764,0.003337,0.138820,-0.138820
14.80,-0.084901,-0.042074,0.004080,-0.020488,0.002320,-0.013391,0.138820,-0.138820
14.85,0.045376,-0.021246,0.016749,0.016188,-0.009104,0.017981,0.138820,-0.138820
14.90,0.078763,0.044475,-0.029234,-0.010782,0.014714,-0.015233,0.138820,-0.138820
14.95,0.054180,0.016221,0.027157,0.004640,-0.018425,0.006269,0.138820,-0.138820
15.00,0.037347,-0.046308,-0.011551,0.001820,0.019758,0.005253,0.138820,-0.138820
15.05,-0.011555,-0.010989,-0.009810,-0.008155,-0.018541,-0.014631,0.138820,-0.138820
15.10,0.096297,0.047549,0.026283,0.013933,0.014932,0.018039,0.138820,-0.138820
15.15,-0.014315,0.005616,-0.029663,-0.018759,-0.009395,-0.014086,0.138820,-0.138820
15.20,0.020212,-0.048184,0.018267,0.022304,0.002646,0.004385,0.138820,-0.138820
15.25,0.009158,-0.000172,0.002230,-0.024325,0.004445,0.007106,0.138820,-0.138820
