log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
312.240,0.015082,0.032069,0.005728,-0.015391,0.011951,-0.012893,-0.013380,0.012060,-0.013190,0.002532,0.005597
312.250,-0.003988,0.018849,-0.008766,-0.002350,-0.001008,-0.018042,-0.002684,0.012991,-0.007749,0.011402,-0.006630
312.260,-0.018396,0.003651,-0.021246,0.011449,-0.013491,-0.013304,0.009900,0.003218,0.004785,0.007703,-0.011061
312.270,-0.027834,-0.011931,-0.028844,0.021555,-0.019620,-0.001274,0.015520,-0.009206,0.012939,-0.004488,-0.002486
312.280,-0.033712,-0.026261,-0.029815,0.024708,-0.016507,0.011454,0.010224,-0.014045,0.009248,-0.011731,0.009012
312.290,-0.038206,-0.037833,-0.023935,0.019889,-0.005619,0.017905,-0.002264,-0.007311,-0.002909,-0.006042,0.009913
312.300,-0.041527,-0.045433,-0.012556,0.008655,0.007916,0.014542,-0.013160,0.005447,-0.012403,0.006307,-0.000843
312.310,-0.041523,-0.048262,0.001708,-0.005371,0.017722,0.003209,-0.014798,0.013717,-0.010543,0.011704,-0.010608
312.320,-0.036887,-0.046025,0.015580,-0.017665,0.019180,-0.009882,-0.006028,0.010685,0.000968,0.004198,-0.007899
312.330,-0.029708,-0.038954,0.025872,-0.024260,0.011604,-0.017558,0.006983,-0.001151,0.011593,-0.007935,0.004098
312.340,-0.023049,-0.027794,0.030219,-0.023029,-0.001438,-0.015610,0.015082,-0.012038,0.011606,-0.011321,0.011276
312.350,-0.015845,-0.013716,0.027624,-0.014369,-0.013803,-0.005108,0.012572,-0.013007,0.000994,-0.002227,0.005195
312.360,-0.002302,0.001802,0.018681,-0.001074,-0.019666,0.008195,0.001219,-0.003258,-0.010528,0.009322,-0.006995
312.370,0.021292,0.017132,0.005446,0.012568,-0.016266,0.017006,-0.010991,0.009175,-0.012412,0.010595,-0.010960
312.380,0.048865,0.030662,-0.009040,0.022155,-0.005204,0.016496,-0.015470,0.014048,-0.002934,0.000188,-0.002037
312.390,0.065739,0.040973,-0.021449,0.024596,0.008310,0.006946,-0.009067,0.007346,0.009230,-0.010426,0.009281
312.400,0.060040,0.046982,-0.028930,0.019102,0.017909,-0.006411,0.003714,-0.005409,0.012944,-0.009547,0.009686
312.410,0.034100,0.048059,-0.029764,0.007446,0.019072,-0.016255,0.013882,-0.013707,0.004809,0.001856,-0.001299
312.420,0.004084,0.044089,-0.023759,-0.006612,0.011252,-0.017189,0.014286,-0.010711,-0.007729,0.011213,-0.010756
312.430,-0.012710,0.035490,-0.012295,-0.018537,-0.001868,-0.008703,0.004641,0.001110,-0.013191,0.008209,-0.007565
312.440,-0.011032,0.023165,0.001994,-0.024482,-0.014109,0.004553,-0.008269,0.012017,-0.006578,-0.003845,0.004521
312.450,0.000662,0.008408,0.015825,-0.022529,-0.019703,0.015314,-0.015362,0.013022,0.006057,-0.011660,0.011291
312.460,0.010101,-0.007233,0.026020,-0.013309,-0.016017,0.017682,-0.011649,0.003297,0.013147,-0.006622,0.004784
312.470,0.011583,-0.022113,0.030236,0.000205,-0.004786,0.010359,0.000258,-0.009144,0.008202,0.005716,-0.007349
312.480,0.007136,-0.034672,0.027505,0.013653,0.008699,-0.002641,0.011984,-0.014051,-0.004251,0.011753,-0.010840
312.490,-0.000213,-0.043591,0.018454,0.022696,0.018087,-0.014194,0.015280,-0.007381,-0.012813,0.004833,-0.001585
312.500,-0.011689,-0.047932,0.005164,0.024418,0.018955,-0.017967,0.007828,0.005371,-0.009645,-0.007414,0.009534
312.510,-0.030417,-0.047241,-0.009314,0.018263,0.010895,-0.011893,-0.005130,0.013698,0.002352,-0.011488,0.009442
312.520,-0.054820,-0.041590,-0.021651,0.006216,-0.002298,0.000699,-0.014480,0.010738,0.012196,-0.002898,-0.001753
312.530,-0.075759,-0.031572,-0.029013,-0.007835,-0.014407,0.012908,-0.013644,-0.001070,0.010876,0.008887,-0.010887
312.540,-0.080949,-0.018240,-0.029710,-0.019360,-0.019731,0.018043,-0.003211,-0.011996,-0.000401,0.010875,-0.007219
312.550,-0.062737,-0.002992,-0.023580,-0.024639,-0.015760,0.013289,0.009480,-0.013038,-0.011310,0.000875,0.004937
312.560,-0.023047,0.012570,-0.012032,-0.021969,-0.004366,0.001252,0.015504,-0.003337,-0.011866,-0.010090,0.011288
312.570,0.027102,0.026812,0.002280,-0.012213,0.009085,-0.011472,0.010621,0.009113,-0.001559,-0.009932,0.004365
312.580,0.072122,0.038239,0.016069,0.001483,0.018256,-0.017907,-0.001732,0.014055,0.010175,0.001175,-0.007690
312.590,0.098243,0.045652,0.026165,0.014701,0.018828,-0.014529,-0.012867,0.007416,0.012595,0.010986,-0.010703
312.600,0.099797,0.048270,0.030250,0.023176,0.010532,-0.003188,-0.014951,-0.005334,0.003485,0.008687,-0.001130
312.610,0.082116,0.045821,0.027384,0.024175,-0.002726,0.009901,-0.006519,-0.013688,-0.008815,-0.003189,0.009772
312.620,0.057350,0.038561,0.018226,0.017375,-0.014699,0.017563,0.006499,-0.010764,-0.013045,-0.011549,0.009183
312.630,0.034213,0.027252,0.004881,0.004970,-0.019749,0.015599,0.014946,0.001029,-0.005333,-0.007178,-0.002204
312.640,0.010269,0.013082,-0.009586,-0.009038,-0.015496,0.005086,0.012879,0.011974,0.007261,0.005106,-0.010999
312.650,-0.023687,-0.002462,-0.021850,-0.020131,-0.003944,-0.008214,0.001753,0.013053,0.013208,0.011761,-0.006861
312.660,-0.068487,-0.017747,-0.029094,-0.024730,0.009466,-0.017013,-0.010606,0.003377,0.007065,0.005451,0.005345
312.670,-0.105979,-0.031169,-0.029653,-0.021351,0.018417,-0.016487,-0.015505,-0.009082,-0.005547,-0.006868,0.011266
312.680,-0.108346,-0.041319,-0.023399,-0.011085,0.018693,-0.006926,-0.009497,-0.014057,-0.013080,-0.011616,0.003940
312.690,-0.064022,-0.047130,-0.011768,0.002757,0.010164,0.006432,0.003191,-0.007450,-0.008640,-0.003559,-0.008019
312.700,0.003909,-0.047992,0.002566,0.015710,-0.003152,0.016264,0.013634,0.005296,0.003710,0.008422,-0.010548
312.710,0.049562,-0.043816,0.016311,0.023595,-0.014984,0.017183,0.014487,0.013678,0.012663,0.011119,-0.000674
312.720,0.041579,-0.035039,0.026308,0.023868,-0.019758,0.008684,0.005150,0.010790,0.010024,0.001559,0.009993
312.730,-0.007080,-0.022583,0.030261,0.016441,-0.015225,-0.004574,-0.007810,-0.000988,-0.001791,-0.009719,0.008909
312.740,-0.047761,-0.007757,0.027260,0.003711,-0.003520,-0.015325,-0.015276,-0.011953,-0.011967,-0.010283,-0.002651
312.750,-0.039028,0.007885,0.017996,-0.010216,0.009842,-0.017677,-0.011997,-0.013068,-0.011188,0.000489,-0.011094
312.760,0.015044,0.022698,0.004598,-0.020848,0.018569,-0.010341,-0.000279,-0.003416,-0.000167,0.010722,-0.006492
312.770,0.068301,0.035128,-0.009857,-0.024754,0.018549,0.002663,0.011635,0.009051,0.011007,0.009135,0.005744
312.780,0.075380,0.043870,-0.022048,-0.020675,0.009792,0.014208,0.015365,0.014060,0.012105,-0.002522,0.011225
312.790,0.033296,0.048006,-0.029172,-0.009926,-0.003578,0.017965,0.008287,0.007485,0.002122,-0.011399,0.003507
312.800,-0.017580,0.047101,-0.029594,0.004024,-0.015262,0.011877,-0.004620,-0.005258,-0.009803,-0.007710,-0.008335
312.810,-0.032364,0.041251,-0.023216,0.016677,-0.019757,-0.000721,-0.014278,-0.013668,-0.012754,0.004478,-0.010376
312.820,-0.001577,0.031070,-0.011504,0.023950,-0.014946,-0.012924,-0.013892,-0.010817,-0.004029,0.011730,-0.000216
312.830,0.044683,0.017627,0.002852,0.023497,-0.003095,-0.018043,-0.003735,0.000948,0.008384,0.006051,0.010198
312.840,0.067713,0.002332,0.016552,0.015464,0.010214,-0.013274,0.009050,0.011931,0.013122,-0.006299,0.008621
312.850,0.052768,-0.013207,0.026449,0.002442,0.018712,-0.001229,0.015468,0.013084,0.005848,-0.011705,-0.003094
312.860,0.013731,-0.027359,0.030269,-0.011367,0.018396,0.011489,0.011006,0.003456,-0.006780,-0.004208,-0.011170
312.870,-0.027292,-0.038639,0.027134,-0.021510,0.009415,0.017910,-0.001198,-0.009019,-0.013201,0.007928,-0.006112
312.880,-0.058998,-0.045862,0.017765,-0.024713,-0.004001,0.014516,-0.012559,-0.014063,-0.007538,0.011324,0.006133
312.890,-0.080443,-0.048270,0.004314,-0.019944,-0.015532,0.003166,-0.015087,-0.007519,0.005026,0.002237,0.011166
312.900,-0.089185,-0.045609,-0.010128,-0.008742,-0.019747,-0.009919,-0.007002,0.005220,0.012989,-0.009316,0.003069
312.910,-0.077859,-0.038160,-0.022243,0.005281,-0.014660,-0.017568,0.006008,0.013658,0.009061,-0.010599,-0.008637
312.920,-0.044520,-0.026704,-0.029248,0.017600,-0.002668,-0.015588,0.014792,0.010843,-0.003161,-0.000198,-0.010187
312.930,-0.001782,-0.012445,-0.029532,0.024241,0.010581,-0.005065,0.013171,-0.000907,-0.012490,0.010421,0.000242
312.940,0.030164,0.003121,-0.023031,0.023063,0.018846,0.008234,0.002285,-0.011909,-0.010385,0.009553,0.010386
312.950,0.041212,0.018360,-0.011238,0.014445,0.018234,0.017020,-0.010208,-0.013099,0.001227,-0.001847,0.008318
312.960,0.039443,0.031671,0.003137,0.001167,0.009033,0.016478,-0.015521,-0.003495,0.011715,-0.011210,-0.003532
312.970,0.039549,0.041656,0.016791,-0.012488,-0.004423,0.006905,-0.009916,0.008988,0.011479,-0.008216,-0.011228
312.980,0.045071,0.047268,0.026587,-0.022114,-0.015795,-0.006453,0.002663,0.014066,0.000735,0.003835,-0.005722
312.990,0.045996,0.047917,0.030275,-0.024606,-0.019728,-0.016274,0.013369,0.007554,-0.010682,0.011659,0.006513
313.000,0.034724,0.043535,0.027006,-0.019160,-0.014368,-0.017176,0.014671,-0.005182,-0.012321,0.006630,0.011089
313.010,0.019918,0.034582,0.017532,-0.007534,-0.002240,-0.008664,0.005653,-0.013648,-0.002680,-0.005708,0.002626
313.020,0.018615,0.021998,0.004030,0.006523,0.010943,0.004596,-0.007341,-0.010869,0.009414,-0.011753,-0.008925
313.030,0.033251,0.007104,-0.010398,0.018475,0.018971,0.015337,-0.015172,0.000866,0.012890,-0.004842,-0.009981
313.040,0.041461,-0.008535,-0.022437,0.024468,0.018063,0.017673,-0.012330,0.011887,0.004566,0.007406,0.000700
313.050,0.015347,-0.023279,-0.029320,0.022568,0.008647,0.010322,-0.000815,0.013114,-0.007938,0.011491,0.010558
