log10_x,mertens_30,mertens_100,mertens_1000,threshold_1,threshold_neg1
50.4,0.098165,0.088708,0.088605,1.0,-1.0
50.5,-0.012072,-0.016006,-0.007368,1.0,-1.0
50.6,-0.020428,-0.047466,-0.073385,1.0,-1.0
50.7,-0.018545,0.021262,0.001080,1.0,-1.0
50.8,0.001444,0.027153,0.019486,1.0,-1.0
50.9,0.034509,0.045013,0.035020,1.0,-1.0
51.0,-0.047109,-0.075099,-0.085506,1.0,-1.0
51.1,-0.059539,-0.074279,-0.080102,1.0,-1.0
51.2,0.035218,0.032065,0.031333,1.0,-1.0
51.3,-0.003861,0.017180,0.012615,1.0,-1.0
51.4,0.063964,0.075697,0.098424,1.0,-1.0
51.5,-0.024385,-0.010955,0.004970,1.0,-1.0
51.6,0.031874,0.028690,0.025121,1.0,-1.0
51.7,-0.010315,-0.018095,-0.025739,1.0,-1.0
51.8,0.021382,-0.004661,-0.016679,1.0,-1.0
51.9,-0.127013,-0.126264,-0.131829,1.0,-1.0
52.0,-0.055627,-0.058965,-0.064520,1.0,-1.0
52.1,-0.029036,-0.054681,-0.034914,1.0,-1.0
52.2,0.061117,0.074244,0.120732,1.0,-1.0
52.3,0.041562,0.051876,0.022950,1.0,-1.0
52.4,0.003914,0.012513,0.034815,1.0,-1.0
52.5,0.037181,0.044202,0.024231,1.0,-1.0
52.6,0.094764,0.070370,0.050854,1.0,-1.0
52.7,0.029509,0.012561,0.008879,1.0,-1.0
52.8,-0.027034,-0.016605,-0.024126,1.0,-1.0
52.9,-0.031020,-0.049256,-0.055028,1.0,-1.0
53.0,-0.082787,-0.078445,-0.073440,1.0,-1.0
53.1,0.051030,0.028637,0.014678,1.0,-1.0
53.2,-0.079582,-0.065076,-0.077894,1.0,-1.0
53.3,0.046996,0.066421,0.094887,1.0,-1.0
53.4,-0.014912,-0.034866,-0.027102,1.0,-1.0
53.5,0.056282,0.077814,0.103045,1.0,-1.0
53.6,-0.054385,-0.060405,-0.054282,1.0,-1.0
53.7,0.002546,0.022800,0.026015,1.0,-1.0
53.8,-0.015460,-0.034906,-0.069256,1.0,-1.0
53.9,0.105329,0.086659,0.113404,1.0,-1.0
54.0,-0.059423,-0.064447,-0.084578,1.0,-1.0
54.1,-0.016078,-0.001724,0.017031,1.0,-1.0
54.2,-0.042402,-0.055033,-0.052259,1.0,-1.0
54.3,0.096455,0.112885,0.092652,1.0,-1.0
54.4,-0.047814,-0.016536,0.011572,1.0,-1.0
54.5,-0.012628,0.030116,0.026689,1.0,-1.0
54.6,-0.096931,-0.096081,-0.087077,1.0,-1.0
54.7,0.096818,0.113906,0.108540,1.0,-1.0
54.8,-0.024229,-0.008479,-0.025649,1.0,-1.0
54.9,0.039934,0.012737,0.009967,1.0,-1.0
55.0,-0.037661,-0.028425,-0.035521,1.0,-1.0
55.1,0.064005,0.026080,0.038795,1.0,-1.0
55.2,0.011700,0.014446,0.003177,1.0,-1.0
55.3,-0.023921,-0.041128,-0.045942,1.0,-1.0
55.4,-0.123763,-0.139864,-0.134506,1.0,-1.0
55.5,0.026709,0.032797,0.038157,1.0,-1.0
55.6,0.002232,0.011434,-0.002124,1.0,-1.0
55.7,0.085128,0.087032,0.070472,1.0,-1.0
55.8,-0.020102,-0.046758,-0.048802,1.0,-1.0
55.9,-0.010711,-0.008623,-0.006377,1.0,-1.0
56.0,0.132931,0.156468,0.142891,1.0,-1.0
56.1,0.012009,0.010578,0.008626,1.0,-1.0
56.2,0.056821,0.049531,0.055544,1.0,-1.0
56.3,-0.087766,-0.120724,-0.146140,1.0,-1.0
56.4,-0.073036,-0.069854,-0.046401,1.0,-1.0
56.5,-0.041378,-0.030376,-0.036448,1.0,-1.0
56.6,-0.019037,-0.014303,-0.019499,1.0,-1.0
56.7,-0.052484,-0.079842,-0.112954,1.0,-1.0
56.8,0.034119,0.021140,0.007587,1.0,-1.0
56.9,-0.091867,-0.103123,-0.082383,1.0,-1.0
57.0,0.074310,0.068219,0.084881,1.0,-1.0
57.1,-0.007850,-0.019011,-0.035163,1.0,-1.0
57.2,0.043673,0.088474,0.089971,1.0,-1.0
57.3,0.046071,0.066402,0.039810,1.0,-1.0
57.4,0.043746,0.054332,0.057058,1.0,-1.0
57.5,-0.012453,-0.001310,-0.030603,1.0,-1.0
57.6,0.030969,0.030957,0.028346,1.0,-1.0
57.7,-0.032682,-0.026816,-0.030371,1.0,-1.0
57.8,0.014206,0.026799,0.013135,1.0,-1.0
57.9,-0.025236,-0.043429,-0.056983,1.0,-1.0
58.0,-0.087951,-0.076036,-0.065365,1.0,-1.0
58.1,0.021193,0.024752,0.037292,1.0,-1.0
58.2,-0.033830,-0.023456,-0.036726,1.0,-1.0
58.3,0.035218,0.020253,0.027015,1.0,-1.0
58.4,0.036223,0.047308,0.050775,1.0,-1.0
58.5,0.044172,0.012905,0.021194,1.0,-1.0
58.6,0.021473,0.030834,0.015410,1.0,-1.0
58.7,0.033758,0.054712,0.071240,1.0,-1.0
58.8,-0.109784,-0.115911,-0.102298,1.0,-1.0
58.9,0.048230,0.044959,0.041906,1.0,-1.0
59.0,-0.083085,-0.080894,-0.079666,1.0,-1.0
59.1,0.097766,0.085320,0.106540,1.0,-1.0
59.2,-0.070234,-0.058178,-0.049158,1.0,-1.0
59.3,-0.005584,-0.015949,-0.040006,1.0,-1.0
59.4,-0.019356,-0.019980,-0.042937,1.0,-1.0
59.5,0.082788,0.079512,0.072056,1.0,-1.0
59.6,-0.001840,-0.016343,-0.038099,1.0,-1.0
59.7,0.014544,0.021123,-0.010393,1.0,-1.0
59.8,-0.140144,-0.146820,-0.151557,1.0,-1.0
59.9,0.045340,0.036949,0.031640,1.0,-1.0
60.0,-0.038780,-0.049587,-0.058922,1.0,-1.0
60.1,0.105956,0.113481,0.125393,1.0,-1.0
60.2,-0.040472,-0.011146,-0.022946,1.0,-1.0
60.3,-0.004262,-0.008278,-0.040324,1.0,-1.0
60.4,-0.036527,-0.027698,-0.028141,1.0,-1.0
60.5,0.069861,0.043874,0.044490,1.0,-1.0
60.6,-0.037160,-0.047935,-0.053503,1.0,-1.0
60.7,0.022485,-0.000017,-0.031480,1.0,-1.0
60.8,-0.039456,-0.059456,-0.048363,1.0,-1.0
60.9,0.084726,0.106305,0.099982,1.0,-1.0
61.0,0.021625,0.024961,0.066145,1.0,-1.0
61.1,0.011916,0.022979,0.007174,1.0,-1.0
61.2,-0.009344,0.013432,0.021780,1.0,-1.0
61.3,0.040244,0.038323,0.009046,1.0,-1.0
61.4,-0.036203,-0.006181,-0.007189,1.0,-1.0
61.5,-0.067864,-0.081924,-0.098754,1.0,-1.0
61.6,-0.062282,-0.073028,-0.095600,1.0,-1.0
61.7,-0.059394,-0.053354,-0.057871,1.0,-1.0
61.8,0.095530,0.094970,0.096861,1.0,-1.0
61.9,-0.024577,-0.017929,-0.027292,1.0,-1.0
62.0,0.071389,0.050640,0.061386,1.0,-1.0
62.1,-0.020329,-0.034574,-0.024490,1.0,-1.0
62.2,0.030761,0.043903,0.028966,1.0,-1.0
62.3,-0.041359,-0.027463,-0.003622,1.0,-1.0
62.4,0.007304,0.035122,0.043847,1.0,-1.0
62.5,-0.044306,-0.060940,-0.072934,1.0,-1.0
62.6,0.045931,0.090879,0.089667,1.0,-1.0
62.7,-0.094571,-0.110018,-0.101241,1.0,-1.0
62.8,-0.000539,-0.025063,-0.000858,1.0,-1.0
62.9,0.042161,0.045895,0.051923,1.0,-1.0
