log10_x,pi_100,pi_1000,pi_10000,zero_line
295.6,0.011475,0.012021,0.011579,0.0
295.8,0.024207,0.023814,0.022481,0.0
296.0,0.029240,0.031987,0.031877,0.0
296.2,-0.013676,-0.008002,-0.007321,0.0
296.4,0.008969,0.006818,0.006622,0.0
296.6,0.018923,0.022303,0.022375,0.0
296.8,0.032332,0.029015,0.027919,0.0
297.0,0.003459,0.001980,0.000557,0.0
297.2,-0.017744,-0.018035,-0.016749,0.0
297.4,-0.005855,-0.007863,-0.009656,0.0
297.6,-0.020375,-0.019623,-0.019451,0.0
297.8,0.001207,0.004397,0.005097,0.0
298.0,-0.050795,-0.047053,-0.045768,0.0
298.2,0.001371,0.001489,0.001835,0.0
298.4,-0.022941,-0.022922,-0.024086,0.0
298.6,-0.009689,-0.004700,-0.004765,0.0
298.8,-0.030291,-0.031820,-0.033027,0.0
299.0,-0.029452,-0.032033,-0.030916,0.0
299.2,-0.010839,-0.008535,-0.006379,0.0
299.4,-0.006082,-0.005630,-0.005731,0.0
299.6,-0.021798,-0.022748,-0.023837,0.0
