################################################################
#  WORST-CASE GAMMA SEARCH                                     #
#                                                              #
#  For each N: sample diverse IC classes, measure gamma.       #
#  Report the MAXIMUM gamma found.                             #
#  If max gamma < 2 at all N: subcritical transfer.            #
################################################################

  N     IC_type          alpha  phase   t      gamma    max_eta   E_tot     Omega
  5     spectral_decay   0.0    3.7    0.0000  -999.000    0.0000  6.48e+01  1.00e+03
  5     spectral_decay   0.0    3.7    0.0100   +2.674   65.0353  6.46e+01  9.97e+02
  5     spectral_decay   0.0    3.7    0.0500   +2.357  168.2558  6.37e+01  9.94e+02
  5     spectral_decay   0.5    0.3    0.0000  -999.000    0.0000  1.84e+01  2.60e+02
  5     spectral_decay   0.5    0.3    0.0100   +2.282   63.2972  1.83e+01  2.60e+02
  5     spectral_decay   0.5    0.3    0.0500   +2.340  262.5815  1.81e+01  2.57e+02
  5     spectral_decay   0.5    0.7    0.0000  -999.000    0.0000  2.04e+01  2.92e+02
  5     spectral_decay   0.5    0.7    0.0100   +3.531   19.1276  2.03e+01  2.91e+02
  5     spectral_decay   0.5    0.7    0.0500   +2.483   92.3685  2.00e+01  2.91e+02
  5     spectral_decay   0.5    1.1    0.0000  -999.000    0.0000  1.95e+01  2.75e+02
  5     spectral_decay   0.5    1.1    0.0100   +3.130    3.5089  1.95e+01  2.75e+02
  5     spectral_decay   0.5    1.1    0.0500   +2.632   22.6144  1.92e+01  2.72e+02
  5     spectral_decay   0.5    2.3    0.0000  -999.000    0.0000  1.88e+01  2.63e+02
  5     spectral_decay   0.5    2.3    0.0100   +1.743   18.2876  1.87e+01  2.62e+02
  5     spectral_decay   0.5    2.3    0.0500   +1.743   86.1824  1.85e+01  2.59e+02
  5     spectral_decay   0.5    3.7    0.0000  -999.000    0.0000  1.80e+01  2.49e+02
  5     spectral_decay   0.5    3.7    0.0100   +2.071   27.3712  1.79e+01  2.48e+02
  5     spectral_decay   0.5    3.7    0.0500   +2.075  137.6138  1.77e+01  2.48e+02
  5     spectral_decay   1.0    0.3    0.0000  -999.000    0.0000  5.54e+00  6.71e+01
  5     spectral_decay   1.0    0.3    0.0100   +1.598    8.1570  5.52e+00  6.69e+01
  5     spectral_decay   1.0    0.3    0.0500   +1.632   43.5134  5.46e+00  6.62e+01
  5     spectral_decay   1.0    0.7    0.0000  -999.000    0.0000  6.14e+00  7.48e+01
  5     spectral_decay   1.0    0.7    0.0100   +1.766    6.4581  6.13e+00  7.46e+01
