############################################################
#  LEMMA 9.5 VERIFICATION                                  #
#                                                          #
#  Verify: R_K = |T_K| / (E · Ω^{1/2} · K^{γ-1})       #
#  is bounded at all K, all t, all (A, ν).                #
#  γ = 1.5 (from lemma proof)                            #
#                                                          #
#  If max R_K < ∞: Lemma holds with C = max R_K.         #
############################################################

  ν     Amp    Step    Time     Energy      Enstrophy   R_k=1     R_k=2     R_k=3     R_k=4     R_k=5     R_k=6     R_k=7     R_k=8     maxR    BOUNDED?
  0.005  0.1    4800     0.4800    1.411465   48.272667     0.0036    0.0063    0.0030    0.0060    0.0016    0.0016    0.0026    0.0002   0.0063  YES
  0.005  0.1    5000     0.5000    1.401864   48.041864     0.0036    0.0061    0.0025    0.0060    0.0007    0.0010    0.0022    0.0002   0.0061  YES
  → Case max R = 0.021895

  0.005  0.3    200      0.0200   14.777183  469.355154     0.0008    0.0034    0.0071    0.0077    0.0105    0.0094    0.0077    0.0000   0.0105  YES
  0.005  0.3    400      0.0400   14.686478  474.071726     0.0021    0.0087    0.0172    0.0173    0.0212    0.0177    0.0151    0.0001   0.0212  YES
  0.005  0.3    600      0.0600   14.594414  480.331757     0.0029    0.0109    0.0195    0.0171    0.0179    0.0139    0.0136    0.0001   0.0195  YES
  0.005  0.3    800      0.0800   14.500984  485.820224     0.0033    0.0106    0.0167    0.0125    0.0128    0.0104    0.0103    0.0001   0.0167  YES
  0.005  0.3    1000     0.1000   14.406486  489.853834     0.0033    0.0091    0.0122    0.0087    0.0101    0.0090    0.0064    0.0001   0.0122  YES
  0.005  0.3    1200     0.1200   14.311269  492.544622     0.0033    0.0076    0.0081    0.0065    0.0079    0.0071    0.0038    0.0001   0.0081  YES
  0.005  0.3    1400     0.1400   14.215609  494.256921     0.0032    0.0065    0.0049    0.0056    0.0050    0.0045    0.0035    0.0001   0.0065  YES
  0.005  0.3    1600     0.1600   14.119683  495.284444     0.0032    0.0058    0.0029    0.0053    0.0018    0.0021    0.0035    0.0002   0.0058  YES
  0.005  0.3    1800     0.1800   14.023599  495.747079     0.0032    0.0052    0.0017    0.0054    0.0008    0.0004    0.0024    0.0001   0.0054  YES
  0.005  0.3    2000     0.2000   13.927445  495.611778     0.0032    0.0046    0.0012    0.0052    0.0024    0.0005    0.0005    0.0001   0.0052  YES
  0.005  0.3    2200     0.2200   13.831337  494.793195     0.0033    0.0039    0.0011    0.0044    0.0026    0.0010    0.0008    0.0001   0.0044  YES
  0.005  0.3    2400     0.2400   13.735407  493.255671     0.0033    0.0033    0.0012    0.0028    0.0018    0.0013    0.0011    0.0001   0.0033  YES
  0.005  0.3    2600     0.2600   13.639784  490.996909     0.0033    0.0027    0.0013    0.0007    0.0006    0.0016    0.0006    0.0001   0.0033  YES
  0.005  0.3    2800     0.2800   13.544592  488.095103     0.0032    0.0021    0.0013    0.0011    0.0003    0.0017    0.0003    0.0000   0.0032  YES
  0.005  0.3    3000     0.3000   13.449927  484.887762     0.0030    0.0016    0.0011    0.0020    0.0008    0.0013    0.0009    0.0001   0.0030  YES
  0.005  0.3    3200     0.3200   13.355801  481.962155     0.0027    0.0011    0.0010    0.0020    0.0013    0.0003    0.0007    0.0001   0.0027  YES
  0.005  0.3    3400     0.3400   13.262114  479.842309     0.0023    0.0007    0.0011    0.0014    0.0020    0.0006    0.0002    0.0001   0.0023  YES
  0.005  0.3    3600     0.3600   13.168693  478.694757     0.0021    0.0003    0.0013    0.0009    0.0027    0.0010    0.0012    0.0002   0.0027  YES
  0.005  0.3    3800     0.3800   13.075365  478.280144     0.0018    0.0000    0.0017    0.0007    0.0029    0.0011    0.0017    0.0001   0.0029  YES
